round,group,n1,n2,n3,n4,n5,n6
192,2,0,3,4,2,1,0
193,2,4,9,1,9,0,5
194,5,4,6,1,1,0,2
195,4,5,3,1,3,0,7
196,4,1,1,3,3,9,3
197,4,9,6,6,6,1,6
198,2,4,3,7,8,0,3
199,4,1,0,3,6,3,3
200,5,1,4,6,3,6,2
201,1,4,7,2,6,7,5
202,2,4,1,9,0,9,3
203,3,4,5,3,0,6,4
204,5,7,5,6,3,9,7
205,1,4,7,2,3,7,7
206,3,4,8,9,0,7,5
207,3,2,1,1,9,8,8
208,1,8,7,9,8,2,9
209,4,9,9,8,7,5,0
210,3,0,4,0,6,6,2
211,1,9,6,0,5,5,4
212,2,1,1,1,9,1,5
213,1,1,5,6,0,4,9
214,1,7,1,8,7,6,6
215,1,8,4,9,5,7,2
216,5,3,2,6,1,1,7
217,5,8,1,7,5,0,9
218,5,2,6,3,3,3,8
219,5,4,2,5,4,8,3
220,4,4,4,4,7,3,9
221,5,1,3,1,3,4,7
222,5,0,5,8,6,2,7
223,5,2,7,9,8,9,5
224,4,9,3,8,7,6,3
225,3,2,4,5,9,1,4
226,1,5,0,2,2,7,5
227,5,0,6,8,5,1,6
228,4,1,2,7,3,1,7
229,1,4,4,1,5,1,0
230,2,8,1,7,2,0,9
231,3,6,6,0,6,2,1
232,1,8,6,8,4,7,6
233,4,3,7,8,8,6,8
234,4,6,5,8,3,7,3
235,4,8,1,7,1,4,8
236,4,4,4,4,4,3,1
237,5,7,9,3,9,6,9
238,5,9,8,8,9,4,2
239,4,2,7,7,3,2,6
240,4,4,4,6,6,4,8
241,2,1,0,6,7,1,6
242,1,3,2,3,1,6,4
243,2,0,8,4,9,8,2
244,5,0,3,3,3,3,7
245,1,1,7,9,2,7,3
246,3,1,7,6,0,6,9
247,2,4,9,0,5,9,0
248,2,0,2,4,9,9,2
249,1,0,9,0,7,8,5
250,3,4,3,7,9,5,0
251,4,3,4,6,1,9,6
252,4,0,0,2,2,2,8
253,4,4,8,4,0,1,0
254,5,0,4,5,0,8,3
255,4,9,4,1,2,7,1
256,5,5,8,4,7,6,6
257,3,5,6,6,2,3,9
258,1,2,6,5,2,5,6
259,3,7,0,7,2,8,8
260,1,2,3,5,1,0,8
261,1,8,4,4,0,6,1
262,3,5,6,4,5,8,3
263,5,1,6,2,2,6,5
264,2,0,6,3,0,5,3
265,5,8,0,2,3,2,0
266,4,0,1,5,1,9,2
267,2,8,3,2,9,6,3
268,2,7,3,6,3,5,8
269,3,4,4,3,5,4,5
270,4,5,9,3,1,4,2
271,3,8,8,7,1,5,5
272,2,1,7,8,4,0,8
273,1,4,1,5,2,2,3
274,5,5,7,4,6,2,7
275,1,0,3,8,8,7,5
276,5,1,6,8,2,3,8
277,4,5,1,5,6,8,0
278,2,6,3,4,6,7,6
279,1,7,2,8,8,2,2
280,1,9,0,4,1,8,1
281,2,9,3,2,8,6,7
282,3,0,3,4,8,4,4
283,3,6,5,3,5,0,3
284,2,2,8,9,0,2,7
285,1,5,3,9,7,4,2
286,2,8,2,4,7,5,6
287,5,6,1,4,7,4,9
288,5,1,1,2,7,0,3
289,3,5,8,5,9,3,5
290,5,2,0,0,1,1,5
291,4,1,4,9,3,0,9
292,4,9,7,1,6,3,0
293,3,6,5,0,3,2,1
294,1,7,4,6,1,8,6
295,3,7,5,1,2,7,2
296,1,6,6,7,9,7,5
297,5,4,4,4,1,6,3
298,3,9,6,0,2,1,1
299,2,2,8,2,9,4,5
300,1,4,5,5,4,9,0
301,4,7,4,8,5,5,9
302,4,6,3,9,9,2,7
303,4,6,3,9,5,6,6
304,5,2,3,4,9,3,1
305,2,3,3,1,3,1,6
306,4,5,4,5,3,8,0
307,1,9,8,7,6,4,5
308,5,9,2,0,3,8,8
309,4,8,6,7,5,4,9
310,3,0,5,6,2,0,4
311,4,3,8,2,2,6,8
312,2,8,6,1,9,4,9
313,5,7,2,6,4,9,3
314,2,0,6,0,7,2,7
315,2,5,3,7,5,3,0
